city,date,rate
Narsinghpur,2018-01-01,75.73
Narsinghpur,2018-01-02,76.35
Narsinghpur,2018-01-05,75.88
Narsinghpur,2018-01-08,76.31
Narsinghpur,2018-01-09,76.36
Narsinghpur,2018-01-10,76.43
Narsinghpur,2018-01-11,76.47
Narsinghpur,2018-01-12,76.53
Narsinghpur,2018-01-15,76.98
Narsinghpur,2018-01-16,77.07
Narsinghpur,2018-01-17,77.19
Narsinghpur,2018-01-18,77.36
Narsinghpur,2018-01-19,77.5
Narsinghpur,2018-01-22,78.04
Narsinghpur,2018-01-23,78.19
Narsinghpur,2018-01-24,78.24
Narsinghpur,2018-01-25,78.3
Narsinghpur,2018-01-29,79.45
Narsinghpur,2018-01-30,79.53
Narsinghpur,2018-02-01,79.66
Narsinghpur,2018-02-02,79.71
Narsinghpur,2018-02-05,79.93
Narsinghpur,2018-02-06,80.0
Narsinghpur,2018-02-08,79.99
Narsinghpur,2018-02-09,79.97
Narsinghpur,2018-02-12,79.62
Narsinghpur,2018-02-13,79.55
Narsinghpur,2018-02-15,79.4
Narsinghpur,2018-02-16,79.12
Narsinghpur,2018-02-19,78.51
Narsinghpur,2018-02-20,78.32
Narsinghpur,2018-02-21,78.31
Narsinghpur,2018-02-22,78.29
Narsinghpur,2018-02-23,78.19
Narsinghpur,2018-02-26,78.11
Narsinghpur,2018-02-27,78.09
Narsinghpur,2018-03-01,78.23
Narsinghpur,2018-03-02,78.41
Narsinghpur,2018-03-05,78.99
Narsinghpur,2018-03-06,79.06
Narsinghpur,2018-03-09,79.1
Narsinghpur,2018-03-12,79.12
Narsinghpur,2018-03-13,79.14
Narsinghpur,2018-03-15,79.12
Narsinghpur,2018-03-16,79.04
Narsinghpur,2018-03-19,78.78
Narsinghpur,2018-03-20,78.75
Narsinghpur,2018-03-22,78.81
Narsinghpur,2018-03-23,78.8
Narsinghpur,2018-03-26,79.19
Narsinghpur,2018-03-27,79.31
Narsinghpur,2018-03-29,79.49
Narsinghpur,2018-03-30,79.72
Narsinghpur,2018-04-02,80.23
Narsinghpur,2018-04-03,80.36
Narsinghpur,2018-04-05,80.39
Narsinghpur,2018-04-09,80.4
Narsinghpur,2018-04-10,80.39
Narsinghpur,2018-04-12,80.35
Narsinghpur,2018-04-13,80.32
Narsinghpur,2018-04-16,80.43
Narsinghpur,2018-04-19,80.48
Narsinghpur,2018-04-20,80.49
Narsinghpur,2018-04-23,80.92
Narsinghpur,2018-04-24,81.05
Narsinghpur,2018-05-14,81.28
Narsinghpur,2018-05-15,81.43
Narsinghpur,2018-05-16,81.59
Narsinghpur,2018-05-17,81.81
Narsinghpur,2018-05-18,81.28
Narsinghpur,2018-05-21,83.08
Narsinghpur,2018-05-22,83.39
Narsinghpur,2018-05-23,83.69
Narsinghpur,2018-05-24,84.0
Narsinghpur,2018-05-25,84.37
Narsinghpur,2018-05-26,84.51
Narsinghpur,2018-05-27,84.66
Narsinghpur,2018-05-28,84.81
Narsinghpur,2018-05-29,84.98
Narsinghpur,2018-05-31,84.9
Narsinghpur,2018-06-01,84.84
Narsinghpur,2018-06-02,84.74
Narsinghpur,2018-06-03,84.65
Narsinghpur,2018-06-04,84.5
Narsinghpur,2018-06-05,84.37
Narsinghpur,2018-06-06,84.25
Narsinghpur,2018-06-07,84.16
Narsinghpur,2018-06-08,83.95
Narsinghpur,2018-06-09,83.54
Narsinghpur,2018-06-10,83.3
Narsinghpur,2018-06-11,83.09
Narsinghpur,2018-06-12,82.94
Narsinghpur,2018-06-15,82.86
Narsinghpur,2018-06-19,82.78
Narsinghpur,2018-06-21,82.67
Narsinghpur,2018-06-22,82.52
Narsinghpur,2018-06-23,82.43
Narsinghpur,2018-06-24,82.29
Narsinghpur,2018-06-25,82.19
Narsinghpur,2018-06-26,82.05
Narsinghpur,2018-07-05,82.21
Narsinghpur,2018-07-06,82.35
Narsinghpur,2018-07-09,82.87
Narsinghpur,2018-07-10,83.04
Narsinghpur,2018-07-12,83.1
Narsinghpur,2018-07-13,83.28
Narsinghpur,2018-07-16,83.39
Narsinghpur,2018-07-20,83.23
Narsinghpur,2018-07-23,82.9
Narsinghpur,2018-07-24,82.83
Narsinghpur,2018-07-30,82.85
Narsinghpur,2018-07-31,82.91
Narsinghpur,2018-08-02,83.09
Narsinghpur,2018-08-03,83.16
